Provincias;Grupo penal;periodo;Total
Albacete;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2017;2
Albacete;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2016;1
Albacete;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2015;1
Albacete;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2014;0
Albacete;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2013;0
Albacete;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2012;1
Albacete;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2011;0
Albacete;DELITOS SEXUALES;2024;12
Albacete;DELITOS SEXUALES;2023;16
Albacete;DELITOS SEXUALES;2022;16
Albacete;DELITOS SEXUALES;2021;13
Albacete;DELITOS SEXUALES;2020;9
Albacete;DELITOS SEXUALES;2019;18
Albacete;DELITOS SEXUALES;2018;18
Albacete;DELITOS SEXUALES;2017;7
Albacete;DELITOS SEXUALES;2016;4
Albacete;DELITOS SEXUALES;2015;11
Albacete;DELITOS SEXUALES;2014;3
Albacete;DELITOS SEXUALES;2013;4
Albacete;DELITOS SEXUALES;2012;3
Albacete;DELITOS SEXUALES;2011;3
Albacete;FALSIFICACIÓN INFORMÁTICA;2024;143
Albacete;FALSIFICACIÓN INFORMÁTICA;2023;111
Albacete;FALSIFICACIÓN INFORMÁTICA;2022;78
Albacete;FALSIFICACIÓN INFORMÁTICA;2021;76
Albacete;FALSIFICACIÓN INFORMÁTICA;2020;72
Albacete;FALSIFICACIÓN INFORMÁTICA;2019;40
Albacete;FALSIFICACIÓN INFORMÁTICA;2018;44
Albacete;FALSIFICACIÓN INFORMÁTICA;2017;28
Albacete;FALSIFICACIÓN INFORMÁTICA;2016;31
Albacete;FALSIFICACIÓN INFORMÁTICA;2015;23
Albacete;FALSIFICACIÓN INFORMÁTICA;2014;21
Albacete;FALSIFICACIÓN INFORMÁTICA;2013;25
Albacete;FALSIFICACIÓN INFORMÁTICA;2012;30
Albacete;FALSIFICACIÓN INFORMÁTICA;2011;54
Albacete;FRAUDE INFORMÁTICO;2024;3.012
Albacete;FRAUDE INFORMÁTICO;2023;3.229
Albacete;FRAUDE INFORMÁTICO;2022;2.966
Albacete;FRAUDE INFORMÁTICO;2021;2.164
Albacete;FRAUDE INFORMÁTICO;2020;2.117
Albacete;FRAUDE INFORMÁTICO;2019;1.727
Albacete;FRAUDE INFORMÁTICO;2018;1.210
Albacete;FRAUDE INFORMÁTICO;2017;539
Albacete;FRAUDE INFORMÁTICO;2016;331
Albacete;FRAUDE INFORMÁTICO;2015;345
Albacete;FRAUDE INFORMÁTICO;2014;270
Albacete;FRAUDE INFORMÁTICO;2013;246
Albacete;FRAUDE INFORMÁTICO;2012;190
Albacete;FRAUDE INFORMÁTICO;2011;174
Albacete;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2024;64
