codigo_ine;Provincias;Grupo penal;periodo;Total_Hechos;Poblacion_Provincial;CCAA;Tasa_Criminalidad;Peso_Tipologia
10;caceres;interferencia_en_los_datos_y_en_el_sistema;2022;5;388257;Extremadura;0.0129;0.20483408439164277
10;caceres;interferencia_en_los_datos_y_en_el_sistema;2023;20;388652;Extremadura;0.0515;0.6377551020408163
10;caceres;interferencia_en_los_datos_y_en_el_sistema;2024;3;388190;Extremadura;0.0077;0.09699321047526674
11;cadiz;acceso__e_interceptacion_ilicita;2022;169;1254866;Andalucía;0.1347;1.6398214632253056
11;cadiz;acceso__e_interceptacion_ilicita;2023;251;1258730;Andalucía;0.1994;1.950120425763344
11;cadiz;acceso__e_interceptacion_ilicita;2024;368;1261420;Andalucía;0.2917;2.911853141319829
11;cadiz;amenazas_y_coacciones;2022;482;1254866;Andalucía;0.3841;4.676887250145547
11;cadiz;amenazas_y_coacciones;2023;545;1258730;Andalucía;0.433;4.234325227255069
11;cadiz;amenazas_y_coacciones;2024;621;1261420;Andalucía;0.4923;4.913752175977212
11;cadiz;contra_el_honor;2022;58;1254866;Andalucía;0.0462;0.5627789637104599
11;cadiz;contra_el_honor;2023;55;1258730;Andalucía;0.0437;0.42731722476886025
11;cadiz;contra_el_honor;2024;58;1261420;Andalucía;0.046;0.45893337553410346
11;cadiz;contra_la_propiedad_industrial/intelectual;2022;3;1254866;Andalucía;0.0024;0.02910925674364448
11;cadiz;contra_la_propiedad_industrial/intelectual;2023;2;1258730;Andalucía;0.0016;0.015538808173413101
11;cadiz;contra_la_propiedad_industrial/intelectual;2024;4;1261420;Andalucía;0.0032;0.031650577623041624
11;cadiz;delitos_sexuales;2022;66;1254866;Andalucía;0.0526;0.6404036483601785
11;cadiz;delitos_sexuales;2023;71;1258730;Andalucía;0.0564;0.5516276901561651
11;cadiz;delitos_sexuales;2024;48;1261420;Andalucía;0.0381;0.3798069314764994
11;cadiz;falsificacion_informatica;2022;509;1254866;Andalucía;0.4056;4.938870560838347
11;cadiz;falsificacion_informatica;2023;531;1258730;Andalucía;0.4219;4.125553570041178
11;cadiz;falsificacion_informatica;2024;678;1261420;Andalucía;0.5375;5.3647729071055545
11;cadiz;interferencia_en_los_datos_y_en_el_sistema;2022;37;1254866;Andalucía;0.0295;0.35901416650494855
11;cadiz;interferencia_en_los_datos_y_en_el_sistema;2023;46;1258730;Andalucía;0.0365;0.35739258798850126
11;cadiz;interferencia_en_los_datos_y_en_el_sistema;2024;40;1261420;Andalucía;0.0317;0.3165057762304162
39;cantabria;acceso__e_interceptacion_ilicita;2022;79;588387;Cantabria;0.1343;1.6437786100707448
39;cantabria;acceso__e_interceptacion_ilicita;2023;129;590851;Cantabria;0.2183;2.1615281501340484
39;cantabria;acceso__e_interceptacion_ilicita;2024;209;593623;Cantabria;0.3521;3.1976744186046515
39;cantabria;amenazas_y_coacciones;2022;208;588387;Cantabria;0.3535;4.327923429047025
39;cantabria;amenazas_y_coacciones;2023;249;590851;Cantabria;0.4214;4.17225201072386
39;cantabria;amenazas_y_coacciones;2024;258;593623;Cantabria;0.4346;3.9473684210526314
39;cantabria;contra_el_honor;2022;11;588387;Cantabria;0.0187;0.22888056595921766
39;cantabria;contra_el_honor;2023;9;590851;Cantabria;0.0152;0.15080428954423591
39;cantabria;contra_el_honor;2024;11;593623;Cantabria;0.0185;0.16829865361077112
39;cantabria;contra_la_propiedad_industrial/intelectual;2022;1;588387;Cantabria;0.0017;0.020807324178110695
39;cantabria;contra_la_propiedad_industrial/intelectual;2023;14;590851;Cantabria;0.0237;0.23458445040214476
39;cantabria;contra_la_propiedad_industrial/intelectual;2024;6;593623;Cantabria;0.0101;0.09179926560587516
39;cantabria;delitos_sexuales;2022;22;588387;Cantabria;0.0374;0.4577611319184353
39;cantabria;delitos_sexuales;2023;12;590851;Cantabria;0.0203;0.20107238605898123
39;cantabria;delitos_sexuales;2024;30;593623;Cantabria;0.0505;0.4589963280293758
39;cantabria;falsificacion_informatica;2022;103;588387;Cantabria;0.1751;2.143154390345402
39;cantabria;falsificacion_informatica;2023;95;590851;Cantabria;0.1608;1.5918230563002682
39;cantabria;falsificacion_informatica;2024;207;593623;Cantabria;0.3487;3.1670746634026927
39;cantabria;interferencia_en_los_datos_y_en_el_sistema;2022;33;588387;Cantabria;0.0561;0.686641697877653
39;cantabria;interferencia_en_los_datos_y_en_el_sistema;2023;32;590851;Cantabria;0.0542;0.5361930294906166
39;cantabria;interferencia_en_los_datos_y_en_el_sistema;2024;41;593623;Cantabria;0.0691;0.6272949816401469
12;castellon;acceso__e_interceptacion_ilicita;2022;51;604086;C. Valenciana;0.0844;1.9798136645962732
12;castellon;acceso__e_interceptacion_ilicita;2023;69;615188;C. Valenciana;0.1122;1.7433046993431025
12;castellon;acceso__e_interceptacion_ilicita;2024;117;627620;C. Valenciana;0.1864;2.7002077082852525
12;castellon;amenazas_y_coacciones;2022;208;604086;C. Valenciana;0.3443;8.074534161490684
12;castellon;amenazas_y_coacciones;2023;162;615188;C. Valenciana;0.2633;4.092976250631632
12;castellon;amenazas_y_coacciones;2024;190;627620;C. Valenciana;0.3027;4.38495268866836
12;castellon;contra_el_honor;2022;15;604086;C. Valenciana;0.0248;0.5822981366459627
12;castellon;contra_el_honor;2023;14;615188;C. Valenciana;0.0228;0.35371399696816574
12;castellon;contra_el_honor;2024;7;627620;C. Valenciana;0.0112;0.16155088852988692
12;castellon;contra_la_propiedad_industrial/intelectual;2022;0;604086;C. Valenciana;0.0;0.0
12;castellon;contra_la_propiedad_industrial/intelectual;2023;0;615188;C. Valenciana;0.0;0.0
12;castellon;contra_la_propiedad_industrial/intelectual;2024;1;627620;C. Valenciana;0.0016;0.02307869836141242
12;castellon;delitos_sexuales;2022;26;604086;C. Valenciana;0.043;1.0093167701863355
12;castellon;delitos_sexuales;2023;25;615188;C. Valenciana;0.0406;0.631632137443153
12;castellon;delitos_sexuales;2024;12;627620;C. Valenciana;0.0191;0.27694438033694896
12;castellon;falsificacion_informatica;2022;127;604086;C. Valenciana;0.2102;4.930124223602485
12;castellon;falsificacion_informatica;2023;121;615188;C. Valenciana;0.1967;3.057099545224861
12;castellon;falsificacion_informatica;2024;212;627620;C. Valenciana;0.3378;4.892684052619432
12;castellon;interferencia_en_los_datos_y_en_el_sistema;2022;12;604086;C. Valenciana;0.0199;0.4658385093167702
12;castellon;interferencia_en_los_datos_y_en_el_sistema;2023;10;615188;C. Valenciana;0.0163;0.25265285497726125
12;castellon;interferencia_en_los_datos_y_en_el_sistema;2024;12;627620;C. Valenciana;0.0191;0.27694438033694896
51;ceuta;acceso__e_interceptacion_ilicita;2022;19;83052;Ceuta;0.2288;3.3509700176366843
51;ceuta;acceso__e_interceptacion_ilicita;2023;12;83179;Ceuta;0.1443;2.027027027027027
51;ceuta;acceso__e_interceptacion_ilicita;2024;21;83567;Ceuta;0.2513;3.5472972972972974
51;ceuta;amenazas_y_coacciones;2022;54;83052;Ceuta;0.6502;9.523809523809524
51;ceuta;amenazas_y_coacciones;2023;33;83179;Ceuta;0.3967;5.574324324324325
51;ceuta;amenazas_y_coacciones;2024;43;83567;Ceuta;0.5146;7.263513513513513
51;ceuta;contra_el_honor;2022;0;83052;Ceuta;0.0;0.0
51;ceuta;contra_el_honor;2023;8;83179;Ceuta;0.0962;1.3513513513513513
51;ceuta;contra_el_honor;2024;1;83567;Ceuta;0.012;0.16891891891891891
51;ceuta;contra_la_propiedad_industrial/intelectual;2022;1;83052;Ceuta;0.012;0.1763668430335097
51;ceuta;contra_la_propiedad_industrial/intelectual;2023;0;83179;Ceuta;0.0;0.0
51;ceuta;contra_la_propiedad_industrial/intelectual;2024;0;83567;Ceuta;0.0;0.0
51;ceuta;delitos_sexuales;2022;4;83052;Ceuta;0.0482;0.7054673721340388
51;ceuta;delitos_sexuales;2023;4;83179;Ceuta;0.0481;0.6756756756756757
51;ceuta;delitos_sexuales;2024;5;83567;Ceuta;0.0598;0.8445945945945946
51;ceuta;falsificacion_informatica;2022;20;83052;Ceuta;0.2408;3.527336860670194
51;ceuta;falsificacion_informatica;2023;19;83179;Ceuta;0.2284;3.209459459459459
51;ceuta;falsificacion_informatica;2024;22;83567;Ceuta;0.2633;3.7162162162162162
51;ceuta;interferencia_en_los_datos_y_en_el_sistema;2022;0;83052;Ceuta;0.0;0.0
51;ceuta;interferencia_en_los_datos_y_en_el_sistema;2023;2;83179;Ceuta;0.024;0.33783783783783783
51;ceuta;interferencia_en_los_datos_y_en_el_sistema;2024;3;83567;Ceuta;0.0359;0.5067567567567568
13;ciudad_real;acceso__e_interceptacion_ilicita;2022;42;491927;Castilla-La Mancha;0.0854;1.2950971322849214
13;ciudad_real;acceso__e_interceptacion_ilicita;2023;49;492948;Castilla-La Mancha;0.0994;1.383399209486166
13;ciudad_real;acceso__e_interceptacion_ilicita;2024;29;494848;Castilla-La Mancha;0.0586;0.857734398107069
13;ciudad_real;amenazas_y_coacciones;2022;150;491927;Castilla-La Mancha;0.3049;4.6253469010175765
13;ciudad_real;amenazas_y_coacciones;2023;132;492948;Castilla-La Mancha;0.2678;3.7267080745341614
13;ciudad_real;amenazas_y_coacciones;2024;124;494848;Castilla-La Mancha;0.2506;3.6675539781129842
13;ciudad_real;contra_el_honor;2022;23;491927;Castilla-La Mancha;0.0468;0.7092198581560284
13;ciudad_real;contra_el_honor;2023;19;492948;Castilla-La Mancha;0.0385;0.5364201016374929
13;ciudad_real;contra_el_honor;2024;10;494848;Castilla-La Mancha;0.0202;0.29577048210588586
13;ciudad_real;contra_la_propiedad_industrial/intelectual;2022;0;491927;Castilla-La Mancha;0.0;0.0
13;ciudad_real;contra_la_propiedad_industrial/intelectual;2023;1;492948;Castilla-La Mancha;0.002;0.0282326369282891
13;ciudad_real;contra_la_propiedad_industrial/intelectual;2024;0;494848;Castilla-La Mancha;0.0;0.0
13;ciudad_real;delitos_sexuales;2022;13;491927;Castilla-La Mancha;0.0264;0.40086339808818994
13;ciudad_real;delitos_sexuales;2023;14;492948;Castilla-La Mancha;0.0284;0.3952569169960474
13;ciudad_real;delitos_sexuales;2024;4;494848;Castilla-La Mancha;0.0081;0.11830819284235432
13;ciudad_real;falsificacion_informatica;2022;126;491927;Castilla-La Mancha;0.2561;3.885291396854764
13;ciudad_real;falsificacion_informatica;2023;128;492948;Castilla-La Mancha;0.2597;3.613777526821005
13;ciudad_real;falsificacion_informatica;2024;152;494848;Castilla-La Mancha;0.3072;4.495711328009465
13;ciudad_real;interferencia_en_los_datos_y_en_el_sistema;2022;9;491927;Castilla-La Mancha;0.0183;0.27752081406105455
13;ciudad_real;interferencia_en_los_datos_y_en_el_sistema;2023;9;492948;Castilla-La Mancha;0.0183;0.2540937323546019
13;ciudad_real;interferencia_en_los_datos_y_en_el_sistema;2024;15;494848;Castilla-La Mancha;0.0303;0.44365572315882873
14;cordoba;acceso__e_interceptacion_ilicita;2022;101;775002;Andalucía;0.1303;1.865533801256003
14;cordoba;acceso__e_interceptacion_ilicita;2023;169;774313;Andalucía;0.2183;2.2033898305084745
14;cordoba;acceso__e_interceptacion_ilicita;2024;225;773163;Andalucía;0.291;3.022162525184688
14;cordoba;amenazas_y_coacciones;2022;299;775002;Andalucía;0.3858;5.522718876985593
14;cordoba;amenazas_y_coacciones;2023;299;774313;Andalucía;0.3861;3.898305084745763
14;cordoba;amenazas_y_coacciones;2024;274;773163;Andalucía;0.3544;3.680322364002686
14;cordoba;contra_el_honor;2022;42;775002;Andalucía;0.0542;0.7757665312153675
