Provincias;Grupo penal;periodo;Total_Hechos;Poblacion_Provincial;CCAA;Tasa_Criminalidad;codigo_ine;Total_Provincial;Peso_Tipologia;Peso_Fraude;VAR_pct
lleida;falsificacion_informatica;2022;24;447343;Cataluña;0.0537;25;4071;0.5895357406042742;;
lleida;falsificacion_informatica;2023;21;451707;Cataluña;0.0465;25;4745;0.44257112750263433;;-12.5
lleida;falsificacion_informatica;2024;69;458226;Cataluña;0.1506;25;4267;1.6170611670963206;;228.57142857142856
lleida;fraude_informatico;2022;3847;447343;Cataluña;8.5997;25;4071;94.49766642102676;94.49766642102676;
lleida;fraude_informatico;2023;4517;451707;Cataluña;9.9998;25;4745;95.19494204425712;95.19494204425712;17.41616844294256
lleida;fraude_informatico;2024;4003;458226;Cataluña;8.7359;25;4267;93.81298336067495;93.81298336067495;-11.379234004870487
lleida;interferencia_en_los_datos_y_en_el_sistema;2022;5;447343;Cataluña;0.0112;25;4071;0.12281994595922378;;
lleida;interferencia_en_los_datos_y_en_el_sistema;2023;11;451707;Cataluña;0.0244;25;4745;0.23182297154899895;;120.00000000000001
lleida;interferencia_en_los_datos_y_en_el_sistema;2024;6;458226;Cataluña;0.0131;25;4267;0.14061401453011485;;-45.45454545454546
lugo;acceso__e_interceptacion_ilicita;2022;23;324267;Galicia;0.0709;27;1931;1.1910926980838943;;
lugo;acceso__e_interceptacion_ilicita;2023;41;325048;Galicia;0.1261;27;2050;2.0;;78.26086956521738
lugo;acceso__e_interceptacion_ilicita;2024;57;326022;Galicia;0.1748;27;2335;2.441113490364026;;39.02439024390243
lugo;amenazas_y_coacciones;2022;87;324267;Galicia;0.2683;27;1931;4.505437597099949;;
lugo;amenazas_y_coacciones;2023;121;325048;Galicia;0.3723;27;2050;5.902439024390244;;39.08045977011494
lugo;amenazas_y_coacciones;2024;130;326022;Galicia;0.3987;27;2335;5.567451820128479;;7.438016528925617
lugo;contra_el_honor;2022;8;324267;Galicia;0.0247;27;1931;0.4142931123770067;;
lugo;contra_el_honor;2023;17;325048;Galicia;0.0523;27;2050;0.8292682926829269;;112.5
lugo;contra_el_honor;2024;9;326022;Galicia;0.0276;27;2335;0.3854389721627409;;-47.05882352941176
lugo;contra_la_propiedad_industrial/intelectual;2022;0;324267;Galicia;0.0;27;1931;0.0;;
lugo;contra_la_propiedad_industrial/intelectual;2023;0;325048;Galicia;0.0;27;2050;0.0;;
lugo;contra_la_propiedad_industrial/intelectual;2024;3;326022;Galicia;0.0092;27;2335;0.1284796573875803;;inf
lugo;delitos_sexuales;2022;3;324267;Galicia;0.0093;27;1931;0.15535991714137753;;
lugo;delitos_sexuales;2023;10;325048;Galicia;0.0308;27;2050;0.4878048780487805;;233.33333333333334
lugo;delitos_sexuales;2024;8;326022;Galicia;0.0245;27;2335;0.3426124197002141;;-19.999999999999996
lugo;falsificacion_informatica;2022;30;324267;Galicia;0.0925;27;1931;1.5535991714137753;;
lugo;falsificacion_informatica;2023;58;325048;Galicia;0.1784;27;2050;2.829268292682927;;93.33333333333333
lugo;falsificacion_informatica;2024;78;326022;Galicia;0.2392;27;2335;3.340471092077088;;34.48275862068966
lugo;fraude_informatico;2022;1771;324267;Galicia;5.4615;27;1931;91.71413775245986;91.71413775245986;
lugo;fraude_informatico;2023;1798;325048;Galicia;5.5315;27;2050;87.70731707317073;87.70731707317073;1.5245623941276154
lugo;fraude_informatico;2024;2037;326022;Galicia;6.248;27;2335;87.23768736616702;87.23768736616702;13.292547274749712
lugo;interferencia_en_los_datos_y_en_el_sistema;2022;9;324267;Galicia;0.0278;27;1931;0.4660797514241326;;
lugo;interferencia_en_los_datos_y_en_el_sistema;2023;5;325048;Galicia;0.0154;27;2050;0.24390243902439024;;-44.44444444444444
lugo;interferencia_en_los_datos_y_en_el_sistema;2024;13;326022;Galicia;0.0399;27;2335;0.556745182012848;;160.0
madrid;acceso__e_interceptacion_ilicita;2022;867;6871903;Madrid;0.1262;28;63758;1.3598293547476394;;
madrid;acceso__e_interceptacion_ilicita;2023;1139;7009268;Madrid;0.1625;28;78881;1.4439472116225707;;31.372549019607842
madrid;acceso__e_interceptacion_ilicita;2024;1621;7113886;Madrid;0.2279;28;73477;2.206132531268288;;42.31782265144864
madrid;amenazas_y_coacciones;2022;2143;6871903;Madrid;0.3118;28;63758;3.3611468364754225;;
madrid;amenazas_y_coacciones;2023;2719;7009268;Madrid;0.3879;28;78881;3.446964414751334;;26.878208119458712
madrid;amenazas_y_coacciones;2024;2480;7113886;Madrid;0.3486;28;73477;3.375205846727548;;-8.789996322177274
madrid;contra_el_honor;2022;115;6871903;Madrid;0.0167;28;63758;0.18036952225603062;;
madrid;contra_el_honor;2023;87;7009268;Madrid;0.0124;28;78881;0.11029271941278636;;-24.347826086956527
madrid;contra_el_honor;2024;96;7113886;Madrid;0.0135;28;73477;0.13065312955074376;;10.344827586206895
madrid;contra_la_propiedad_industrial/intelectual;2022;26;6871903;Madrid;0.0038;28;63758;0.04077919633614605;;
madrid;contra_la_propiedad_industrial/intelectual;2023;13;7009268;Madrid;0.0019;28;78881;0.016480521291565776;;-50.0
madrid;contra_la_propiedad_industrial/intelectual;2024;23;7113886;Madrid;0.0032;28;73477;0.031302312288199026;;76.92307692307692
madrid;delitos_sexuales;2022;204;6871903;Madrid;0.0297;28;63758;0.31995984817591516;;
madrid;delitos_sexuales;2023;239;7009268;Madrid;0.0341;28;78881;0.3029880452834016;;17.156862745098046
madrid;delitos_sexuales;2024;230;7113886;Madrid;0.0323;28;73477;0.3130231228819903;;-3.765690376569042
madrid;falsificacion_informatica;2022;2291;6871903;Madrid;0.3334;28;63758;3.5932745694657924;;
madrid;falsificacion_informatica;2023;2882;7009268;Madrid;0.4112;28;78881;3.653604797099428;;25.796595373199473
madrid;falsificacion_informatica;2024;3289;7113886;Madrid;0.4623;28;73477;4.4762306572124615;;14.122137404580148
madrid;fraude_informatico;2022;57794;6871903;Madrid;8.4102;28;63758;90.64587973273942;90.64587973273942;
madrid;fraude_informatico;2023;71534;7009268;Madrid;10.2056;28;78881;90.68597000545124;90.68597000545124;23.774094196629413
madrid;fraude_informatico;2024;65361;7113886;Madrid;9.1878;28;73477;88.9543666725642;88.9543666725642;-8.629462912740793
madrid;interferencia_en_los_datos_y_en_el_sistema;2022;318;6871903;Madrid;0.0463;28;63758;0.4987609398036325;;
madrid;interferencia_en_los_datos_y_en_el_sistema;2023;268;7009268;Madrid;0.0382;28;78881;0.3397522850876637;;-15.723270440251568
madrid;interferencia_en_los_datos_y_en_el_sistema;2024;377;7113886;Madrid;0.053;28;73477;0.5130857275065667;;40.67164179104476
malaga;acceso__e_interceptacion_ilicita;2022;304;1752728;Andalucía;0.1734;29;11863;2.5625895641911827;;
malaga;acceso__e_interceptacion_ilicita;2023;413;1774701;Andalucía;0.2327;29;17993;2.2953370755293725;;35.85526315789473
malaga;acceso__e_interceptacion_ilicita;2024;592;1791183;Andalucía;0.3305;29;18137;3.264045873077135;;43.34140435835352
malaga;amenazas_y_coacciones;2022;642;1752728;Andalucía;0.3663;29;11863;5.411784540166906;;
malaga;amenazas_y_coacciones;2023;649;1774701;Andalucía;0.3657;29;17993;3.606958261546157;;1.0903426791277315
malaga;amenazas_y_coacciones;2024;651;1791183;Andalucía;0.3634;29;18137;3.589347742184485;;0.30816640986133237
malaga;contra_el_honor;2022;68;1752728;Andalucía;0.0388;29;11863;0.5732108235690804;;
malaga;contra_el_honor;2023;51;1774701;Andalucía;0.0287;29;17993;0.28344356138498306;;-25.0
malaga;contra_el_honor;2024;50;1791183;Andalucía;0.0279;29;18137;0.2756795500909742;;-1.9607843137254943
malaga;contra_la_propiedad_industrial/intelectual;2022;4;1752728;Andalucía;0.0023;29;11863;0.03371828373935767;;
malaga;contra_la_propiedad_industrial/intelectual;2023;8;1774701;Andalucía;0.0045;29;17993;0.04446173511921303;;100.0
malaga;contra_la_propiedad_industrial/intelectual;2024;24;1791183;Andalucía;0.0134;29;18137;0.13232618404366764;;200.0
malaga;delitos_sexuales;2022;70;1752728;Andalucía;0.0399;29;11863;0.5900699654387591;;
malaga;delitos_sexuales;2023;64;1774701;Andalucía;0.0361;29;17993;0.35569388095370424;;-8.571428571428575
malaga;delitos_sexuales;2024;70;1791183;Andalucía;0.0391;29;18137;0.38595137012736397;;9.375
malaga;falsificacion_informatica;2022;438;1752728;Andalucía;0.2499;29;11863;3.6921520694596643;;
malaga;falsificacion_informatica;2023;459;1774701;Andalucía;0.2586;29;17993;2.5509920524648475;;4.794520547945202
malaga;falsificacion_informatica;2024;674;1791183;Andalucía;0.3763;29;18137;3.7161603352263333;;46.84095860566448
malaga;fraude_informatico;2022;10230;1752728;Andalucía;5.8366;29;11863;86.23451066340724;86.23451066340724;
malaga;fraude_informatico;2023;16241;1774701;Andalucía;9.1514;29;17993;90.26288000889234;90.26288000889234;58.75855327468231
malaga;fraude_informatico;2024;15955;1791183;Andalucía;8.9075;29;18137;87.96934443402988;87.96934443402988;-1.7609753094021352
malaga;interferencia_en_los_datos_y_en_el_sistema;2022;107;1752728;Andalucía;0.061;29;11863;0.9019640900278175;;
malaga;interferencia_en_los_datos_y_en_el_sistema;2023;108;1774701;Andalucía;0.0609;29;17993;0.6002334241093759;;0.9345794392523255
malaga;interferencia_en_los_datos_y_en_el_sistema;2024;121;1791183;Andalucía;0.0676;29;18137;0.6671445112201577;;12.037037037037045
melilla;acceso__e_interceptacion_ilicita;2022;14;85493;Melilla;0.1638;52;405;3.45679012345679;;
melilla;acceso__e_interceptacion_ilicita;2023;12;85985;Melilla;0.1396;52;481;2.494802494802495;;-14.28571428571429
melilla;acceso__e_interceptacion_ilicita;2024;35;87067;Melilla;0.402;52;551;6.352087114337568;;191.66666666666666
melilla;amenazas_y_coacciones;2022;41;85493;Melilla;0.4796;52;405;10.123456790123457;;
melilla;amenazas_y_coacciones;2023;34;85985;Melilla;0.3954;52;481;7.0686070686070686;;-17.07317073170732
melilla;amenazas_y_coacciones;2024;38;87067;Melilla;0.4364;52;551;6.896551724137931;;11.764705882352944
melilla;contra_el_honor;2022;12;85493;Melilla;0.1404;52;405;2.9629629629629632;;
melilla;contra_el_honor;2023;16;85985;Melilla;0.1861;52;481;3.3264033264033266;;33.33333333333333
melilla;contra_el_honor;2024;10;87067;Melilla;0.1149;52;551;1.8148820326678767;;-37.5
melilla;contra_la_propiedad_industrial/intelectual;2022;0;85493;Melilla;0.0;52;405;0.0;;
melilla;contra_la_propiedad_industrial/intelectual;2023;0;85985;Melilla;0.0;52;481;0.0;;
melilla;contra_la_propiedad_industrial/intelectual;2024;0;87067;Melilla;0.0;52;551;0.0;;
melilla;delitos_sexuales;2022;0;85493;Melilla;0.0;52;405;0.0;;
melilla;delitos_sexuales;2023;2;85985;Melilla;0.0233;52;481;0.4158004158004158;;inf
melilla;delitos_sexuales;2024;4;87067;Melilla;0.0459;52;551;0.7259528130671506;;100.0
melilla;falsificacion_informatica;2022;5;85493;Melilla;0.0585;52;405;1.2345679012345678;;
melilla;falsificacion_informatica;2023;7;85985;Melilla;0.0814;52;481;1.4553014553014554;;39.99999999999999
melilla;falsificacion_informatica;2024;5;87067;Melilla;0.0574;52;551;0.9074410163339384;;-28.57142857142857
melilla;fraude_informatico;2022;329;85493;Melilla;3.8483;52;405;81.23456790123457;81.23456790123457;
